File,Left Context,Hit,Right Context,Full Passage,Year
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"steps, Remi and his team do not have the opportunity to imagine a solution through coevolution—the rapid cognitive oscillation between our understanding of the ",problem ,"and ideas for the software product [7].  B. An Interaction Designer’s Perspective  This section describes a hypothetical process that Iris, our Interaction Designer, and ","steps, Remi and his team do not have the opportunity to imagine a solution through coevolution—the rapid cognitive oscillation between our understanding of the problem and ideas for the software product [7].  B. An Interaction Designer’s Perspective  This section describes a hypothetical process that Iris, our Interaction Designer, and ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"traditional and flipped-classroom delivery, together with project-based learning. During the course project, students learn to design and implement software systems that address real ",problems ,"and satisfy real stakeholders’ needs by being useful, usable, and enjoyable to use. This paper documents the author’s experience designing and teaching the ","traditional and flipped-classroom delivery, together with project-based learning. During the course project, students learn to design and implement software systems that address real problems and satisfy real stakeholders’ needs by being useful, usable, and enjoyable to use. This paper documents the author’s experience designing and teaching the ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"experience team and is in charge of designing software behavior. While both Remi and Iris share the same mission, namely, conceiving software systems addressing real ",problems ,"and satisfying real user’s needs, they each have a very different way of fulfilling their mission.  Indeed, Remi and Iris have very different ","experience team and is in charge of designing software behavior. While both Remi and Iris share the same mission, namely, conceiving software systems addressing real problems and satisfying real user’s needs, they each have a very different way of fulfilling their mission.  Indeed, Remi and Iris have very different ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"that is tackling open-ended problems is time consuming. Furthermore, when left on their own devices, students tend to revert to old habits, happily preconceiving ",problems ,"and solutions, building a product for the first solution that comes to mind, and avoiding talking to users until the first version of the ","that is tackling open-ended problems is time consuming. Furthermore, when left on their own devices, students tend to revert to old habits, happily preconceiving problems and solutions, building a product for the first solution that comes to mind, and avoiding talking to users until the first version of the ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"concepts. Through multiple rounds of coevolution (e.g., sketching, storyboarding and design walkthrough, prototyping and usability testing), they simultaneously refine their understanding of both the ",problem ,"and the solution. As a result, their interaction design is likely to be innovative while satisfying the users needs.  Unfortunately, the scenario also highlights ","concepts. Through multiple rounds of coevolution (e.g., sketching, storyboarding and design walkthrough, prototyping and usability testing), they simultaneously refine their understanding of both the problem and the solution. As a result, their interaction design is likely to be innovative while satisfying the users needs.  Unfortunately, the scenario also highlights ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"the course content. Consequently they tend to be incompatible with fast-evolving course subjects, like integrating interaction design into agile software development.  To overcome this ",problem ,"in SRID, video lectures are replaced with selected readings and other relevant materials. In addition, a mini-lecture of about 15 to 30 minutes is added ","the course content. Consequently they tend to be incompatible with fast-evolving course subjects, like integrating interaction design into agile software development.  To overcome this problem in SRID, video lectures are replaced with selected readings and other relevant materials. In addition, a mini-lecture of about 15 to 30 minutes is added ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"with a class of 33 students. Still, providing effective feedback becomes challenging as class size grows. Evaluating creative and novel work that is tackling open-ended ",problems ,"is time consuming. Furthermore, when left on their own devices, students tend to revert to old habits, happily preconceiving problems and solutions, building a ","with a class of 33 students. Still, providing effective feedback becomes challenging as class size grows. Evaluating creative and novel work that is tackling open-ended problems is time consuming. Furthermore, when left on their own devices, students tend to revert to old habits, happily preconceiving problems and solutions, building a ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"subsequent and current semesters, students are encouraged to define their own projects (see Section IV-D1). The only recommendation is to identify opportunities related to ",problems ,"with important societal impact, with the hope of raising students’ social and civil awareness. Students are responsible for identifying and contacting stakeholders to interview. ","subsequent and current semesters, students are encouraged to define their own projects (see Section IV-D1). The only recommendation is to identify opportunities related to problems with important societal impact, with the hope of raising students’ social and civil awareness. Students are responsible for identifying and contacting stakeholders to interview. ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"delivery [11] and traditional delivery in the context of project-based learning [12]. During  the course project, students learn to design and implement software systems addressing real ","problems, ","satisfying real stakeholders’ needs, and offering superior user experiences. Students also get a taste of the continuous and concurrent nature of product discovery and ","delivery [11] and traditional delivery in the context of project-based learning [12]. During  the course project, students learn to design and implement software systems addressing real problems, satisfying real stakeholders’ needs, and offering superior user experiences. Students also get a taste of the continuous and concurrent nature of product discovery and ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,design of the last offering.  A. Learning Objectives  The learning objectives are as follows:  • Innovate with a design thinking mindset.  • Design software systems addressing real ,"problems, ","satisfying real stakeholders’ needs, and providing superior  user experiences.  • In the context of dual-track agile software development,  apply an integrated approach to RE ","design of the last offering.  A. Learning Objectives  The learning objectives are as follows:  • Innovate with a design thinking mindset.  • Design software systems addressing real problems, satisfying real stakeholders’ needs, and providing superior  user experiences.  • In the context of dual-track agile software development,  apply an integrated approach to RE ",2019
