File,Left Context,Hit,Right Context,Full Passage,Year
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"dual-track agile is presented in [8]. However, simplicity comes handy when it comes to teaching and learning. In the next section, we show how this ",simple ,process has been used to guide the design of a new course integrating interaction design into software development.  IV. COURSE DESIGN  The Software Requirements ,"dual-track agile is presented in [8]. However, simplicity comes handy when it comes to teaching and learning. In the next section, we show how this simple process has been used to guide the design of a new course integrating interaction design into software development.  IV. COURSE DESIGN  The Software Requirements ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"the messy reality of software product design and development. An attempt to more effectively convey the disorderliness of dual-track agile is presented in [8]. However, ",simplicity ,"comes handy when it comes to teaching and learning. In the next section, we show how this simple process has been used to guide ","the messy reality of software product design and development. An attempt to more effectively convey the disorderliness of dual-track agile is presented in [8]. However, simplicity comes handy when it comes to teaching and learning. In the next section, we show how this simple process has been used to guide ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"be created around individual artifacts for enhanced collaboration.  Overall, the tool reduces the overhead of structuring the information, at both project and artifact levels, as ",well ,"as the overhead of understanding what content to produce. As a result, students can focus on content creation instead.   C. Effective Feedback  In the ","be created around individual artifacts for enhanced collaboration.  Overall, the tool reduces the overhead of structuring the information, at both project and artifact levels, as well as the overhead of understanding what content to produce. As a result, students can focus on content creation instead.   C. Effective Feedback  In the ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"course presented in this paper starts by introducing two main characters, Remi, the Requirements Engineer (often called Product Manager), and Iris, the Interaction Designer, as ",well ,"as their backgrounds and traditional ways of working.  Remi, our Requirements Engineer (or Product Manager), belongs to a software development team and is in ","course presented in this paper starts by introducing two main characters, Remi, the Requirements Engineer (often called Product Manager), and Iris, the Interaction Designer, as well as their backgrounds and traditional ways of working.  Remi, our Requirements Engineer (or Product Manager), belongs to a software development team and is in ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,be timely and targeted in order to be effective and guide further learning. Failing to so do might compromise students’ ability to succeed.  Here as ,"well, ","the requirements management tool has helped. The tool provides instructors with an improved visibility of the students’ work throughout the project. At any time, ","be timely and targeted in order to be effective and guide further learning. Failing to so do might compromise students’ ability to succeed.  Here as well, the requirements management tool has helped. The tool provides instructors with an improved visibility of the students’ work throughout the project. At any time, ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"of success in the course, students are asked to auto-form their team primarily based on project interest. Interpersonal relationship certainly plays a role as ",well ,for students who already know each other.  2) Project Tasks: The project tasks are designed based on the dual-track agile process presented in Section ,"of success in the course, students are asked to auto-form their team primarily based on project interest. Interpersonal relationship certainly plays a role as well for students who already know each other.  2) Project Tasks: The project tasks are designed based on the dual-track agile process presented in Section ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"these domains. It is an opportunity to improve the students’ interview and communication skills while enlarging their professional network.  V. CHALLENGES  Overall, the course is ",well ,"received by students, as illustrated by the following quotes taken from the online course evaluation: “Excellent course with great teaching style combining industry practice ","these domains. It is an opportunity to improve the students’ interview and communication skills while enlarging their professional network.  V. CHALLENGES  Overall, the course is well received by students, as illustrated by the following quotes taken from the online course evaluation: “Excellent course with great teaching style combining industry practice ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,classroom under the guidance of a faculty mentor. Flipping a project-based course could amplify its benefits by freeing-up time inside the classroom to ,better ,"prepare students for the demands of the course project. However, because video lectures are initially long to create, and later on difficult to maintain, ","classroom under the guidance of a faculty mentor. Flipping a project-based course could amplify its benefits by freeing-up time inside the classroom to better prepare students for the demands of the course project. However, because video lectures are initially long to create, and later on difficult to maintain, ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,notable aspect of the project is the high level of stakeholder involvement. Each interaction with stakeholders is an opportunity to pivot the product direction to ,better ,"satisfy their needs. Also notable, is the fact that each team goes beyond creating an interaction design addressing their opportunity by preparing a backlog ","notable aspect of the project is the high level of stakeholder involvement. Each interaction with stakeholders is an opportunity to pivot the product direction to better satisfy their needs. Also notable, is the fact that each team goes beyond creating an interaction design addressing their opportunity by preparing a backlog ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"communities into integrated software development approaches [5]. Most of these approaches share similar underlying principles, including parallel interwoven tracks of interaction design and software development, as ",best ,"exemplified by dual-track agile software development [6]. Unfortunately, the disconnect between SE and HCI remains prevalent in academia, where very few courses cover both ","communities into integrated software development approaches [5]. Most of these approaches share similar underlying principles, including parallel interwoven tracks of interaction design and software development, as best exemplified by dual-track agile software development [6]. Unfortunately, the disconnect between SE and HCI remains prevalent in academia, where very few courses cover both ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"development [6]. Unfortunately, the disconnect between SE and HCI remains prevalent in academia, where very few courses cover both disciplines in an integrated fashion. To the ",best ,"of the author’s knowledge, no publication has reported the existence of a scholarly course covering dual-track agile. Furthermore, the way most software ","development [6]. Unfortunately, the disconnect between SE and HCI remains prevalent in academia, where very few courses cover both disciplines in an integrated fashion. To the best of the author’s knowledge, no publication has reported the existence of a scholarly course covering dual-track agile. Furthermore, the way most software ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"To do so, they first brainstorm design ideas, often using sketches to boost creativity [40]. The team combines and synthesizes these ideas, and then showcases the ",best ,resulting concepts using storyboards [41]. These storyboards illustrate how personas [42] interact with the software solution to achieve their goal within the context of use. Finally ,"To do so, they first brainstorm design ideas, often using sketches to boost creativity [40]. The team combines and synthesizes these ideas, and then showcases the best resulting concepts using storyboards [41]. These storyboards illustrate how personas [42] interact with the software solution to achieve their goal within the context of use. Finally ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"the class session is dedicated to an in-class activity where students apply the concepts to a toy example. That way, the course retains the ",benefits ,"of flipped classroom without the drawbacks of video lectures. When time permits, students are encouraged to stay after the in-class activity to work ","the class session is dedicated to an in-class activity where students apply the concepts to a toy example. That way, the course retains the benefits of flipped classroom without the drawbacks of video lectures. When time permits, students are encouraged to stay after the in-class activity to work ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"the classroom, and interactive group learning activities inside the classroom under the guidance of a faculty mentor. Flipping a project-based course could amplify its ",benefits ,"by freeing-up time inside the classroom to better prepare students for the demands of the course project. However, because video lectures are initially ","the classroom, and interactive group learning activities inside the classroom under the guidance of a faculty mentor. Flipping a project-based course could amplify its benefits by freeing-up time inside the classroom to better prepare students for the demands of the course project. However, because video lectures are initially ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"a project of realistic complexity. While working in teams on project tasks, students experiment with and reason about the underlying concepts of a discipline. Potential ",benefits ,"include active participation in the learning process, promotion of critical thinking, development of soft skills, and a taste of real-world projects.  Flipped classroom [11] ","a project of realistic complexity. While working in teams on project tasks, students experiment with and reason about the underlying concepts of a discipline. Potential benefits include active participation in the learning process, promotion of critical thinking, development of soft skills, and a taste of real-world projects.  Flipped classroom [11] ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"challenges. This section covers past and current challenges, together with attempts to overcome them.  A. Project Selection  In the context of project-based learning, the ",success ,"of the course relies on finding motivating projects that effectively  support the course learning objectives. To reach the SRID course objectives, students must work ","challenges. This section covers past and current challenges, together with attempts to overcome them.  A. Project Selection  In the context of project-based learning, the success of the course relies on finding motivating projects that effectively  support the course learning objectives. To reach the SRID course objectives, students must work ",2019
ICSE_Dual-Track_Agile_in_Software_Engineering_Education_2019_IEEE_cleaned.txt,"finding and contacting stakeholders on their own (with only the help of a provided recruitment email template), all teams have managed to do so fairly ",successfully.  ,"Finally, most teams have proposed project ideas with a goal of making a unique contribution to society. The domains of these projects have included ","finding and contacting stakeholders on their own (with only the help of a provided recruitment email template), all teams have managed to do so fairly successfully.  Finally, most teams have proposed project ideas with a goal of making a unique contribution to society. The domains of these projects have included ",2019
